Item,Quantity,Notes,Price (USD),URL
Raspberry Pi Pico,1,RP2040 microcontroller,9.23,https://www.aliexpress.com/item/1005011871301955.html?pdp_ext_f=%7B"order"%3A"19"%2C"eval"%3A"1"%2C"fromPage"%3A"search"%7D
MX Mechanical Switches,68,Cherry MX compatible,30.22,https://www.aliexpress.com/item/1005008998414457.html?pdp_ext_f=%7B"order"%3A"322"%2C"eval"%3A"1"%2C"fromPage"%3A"search"%7D
PCB Mount Stabilizers,4,For larger keys,11.23,https://www.aliexpress.com/item/1005001686299616.html?pdp_ext_f=%7B"order"%3A"267"%2C"eval"%3A"1"%2C"fromPage"%3A"search"%7D
LEDs,68,One per switch,8.68,https://www.aliexpress.com/item/1005006727416963.html?pdp_ext_f=%7B"order"%3A"59"%2C"spu_best_type"%3A"price"%2C"eval"%3A"1"%2C"fromPage"%3A"search"%7D
Keycap Set,1,68-key compatible,24.17,https://www.aliexpress.com/item/1005007252695395.html?pdp_ext_f=%7B"order"%3A"68"%2C"eval"%3A"1"%2C"fromPage"%3A"search"%7D
Rotary Encoder,1,EC11,9.84,https://www.aliexpress.com/item/1005011653314162.html?pdp_ext_f=%7B"order"%3A"8"%2C"eval"%3A"1"%2C"fromPage"%3A"search"%7D
Encoder Knob,1,Fits encoder shaft,1.76,https://www.aliexpress.com/item/1005008291630040.html?aem_p4p_detail=20260710071720613074789560480005766622&pdp_ext_f=%7B"order"%3A"224"%2C"spu_best_type"%3A"price"%2C"eval"%3A"1"%2C"fromPage"%3A"search"%7D&search_p4p_id=20260710071720613074789560480005766622_6
OLED Display,1,"0.91"" I2C (SSD1306)",1.44,https://www.aliexpress.com/item/1005008997559133.html?pdp_ext_f=%7B"order"%3A"2411"%2C"eval"%3A"1"%2C"fromPage"%3A"search"%7D
PCB,1,Custom keyboard PCB,61.97,https://github.com/user-attachments/assets/7c825ecb-10aa-4597-84ef-201b4d64e1a1
,,Shipping,5.71,
,,Duties,8.27,
,,Total,109.56,
